title,avg_rating,Class
"Dark Iris",4.1,"Flop movie"
"Dark Meridian",4.7,"Flop movie"
"Dark River",5.8,"One-time-watch movie"
"Dark Sense",4.3,"Flop movie"
"Darkness Visible",5.5,"One-time-watch movie"
Darling,5.5,"One-time-watch movie"
"Das Ende der Wahrheit",6.2,"One-time-watch movie"
Dassehra,3.8,"Flop movie"
"Daughter of the Wolf",5.7,"One-time-watch movie"
"Dead Awake",4.6,"Flop movie"
"Dead on Arrival",6.1,"One-time-watch movie"
"Dead Water",3.2,"Flop movie"
"Deadly Crush",6.3,"One-time-watch movie"
"Deadly Exchange",4.9,"Flop movie"
"Deadly Expose",3.3,"Flop movie"
"Deadly Sanctuary",3.7,"Flop movie"
"Deadly Switch",4.5,"Flop movie"
"Deadman Standing",4.8,"Flop movie"
"Death Game",6.6,"One-time-watch movie"
"Death Pool",3.0,"Flop movie"
"Deception: Oo Pel Dan Myin",8.2,"Superhit movie"
"Deep Burial",4.1,"Flop movie"
Defective,3.5,"Flop movie"
"Del Playa",3.7,"Flop movie"
Delirium,3.2,"Flop movie"
Delirium,5.7,"One-time-watch movie"
"Dementia 13",4.3,"Flop movie"
"Demon House",5.2,"One-time-watch movie"
Demonic,5.3,"One-time-watch movie"
"Demonios tus ojos",5.5,"One-time-watch movie"
"Den 12. mann",7.4,"Hit movie"
"Den enda vägen",5.9,"One-time-watch movie"
"Den skyldige",7.5,"Hit movie"
Depraved,4.9,"Flop movie"
"Der müde Tod",7.7,"Hit movie"
Desolation,5.8,"One-time-watch movie"
Desolation,4.5,"Flop movie"
Despair,7.8,"Hit movie"
Detour,6.2,"One-time-watch movie"
"Deviant Love",3.5,"Flop movie"
"Devil in the Dark",4.7,"Flop movie"
"Dhaka Attack",8.0,"Superhit movie"
Dharmayuddhaya,8.0,"Superhit movie"
"Die Hölle",6.5,"One-time-watch movie"
"Die in One Day",4.8,"Flop movie"
"Die Vierhändige",6.4,"One-time-watch movie"
"Die, My Dear",5.3,"One-time-watch movie"
Digbhayam,9.2,"Superhit movie"
"Direnis Karatay",7.0,"Hit movie"
Discarnate,4.2,"Flop movie"
Dismissed,5.7,"One-time-watch movie"
Displacement,4.5,"Flop movie"
Distorted,5.3,"One-time-watch movie"
Diverge,4.5,"Flop movie"
"Division 19",5.8,"One-time-watch movie"
"Diwanji Moola Grand Prix",4.8,"Flop movie"
Diya,5.7,"One-time-watch movie"
Do-eo-lak,6.2,"One-time-watch movie"
Doe,5.1,"One-time-watch movie"
Dogman,7.3,"Hit movie"
"Dokyala Shot",9.2,"Superhit movie"
"Doll Cemetery",3.3,"Flop movie"
Domino,4.4,"Flop movie"
Donnybrook,5.3,"One-time-watch movie"
